part,description,shape,color,coating,mfg
1-0025-0001,Toroidal Blank Visor Clr Sm/Md #104,#104 Toroidal Blank,Clr,AF,MXL VV20294
1-0025-5001,Toroidal Blank Visor Sm/Md #104,#104 Toroidal Blank,Clr,AF,Revision VI20197
1-0025-5002,Toroidal Blank Visor Sm/Md HC/AF,Revision,Clr,AF,Revision VI20197
1-0026-0001,Toroidal Blank Visor Clr Lg/Xlg #109,#109 Toroidal Blank,Clr,AF,MXL VV20294
1-0026-5001,Toroidal Blank Visor Lg/XL #109,#109 Toroidal Blank,Clr,HC,Revision VI20197
1-0026-5002,Toroidal Blank Visor Lg/XL #109,#109 Toroidal Blank,Clr,AF,Revision VI20197
1-0026-5002,Toroidal Blank Visor 109 Clr HC/AF,Blank Visor,Clr,AF,Revision VI20198
1-0078-0001,SF Lens Clr SC Lg,Saw Fly,Clr,HC,Jiann Lih VV21234
1-0078-0002,SF Lens Smk SC Lg,Saw Fly,Smk,HC,Jiann Lih VV21234
1-0078-0003,SF Lens Yel SC Lg,Saw Fly,Yel,HC,Jiann Lih VV21234
1-0078-0004,SF Lens Amber SC Lg,Saw Fly,Amber,HC,Jiann Lih VV21234
1-0078-0005,SF Lens Plzd SC Lg,Saw Fly,PLZD,HC,Jiann Lih VV21234
1-0078-0005,SF Lens Plzd SC Lg,Saw Fly,PLZD,HC,Jiann Lih VV21234
1-0078-0006,SF Lens Clr SC AF Lg,Saw Fly,Clr,AF,Jiann Lih VV21234
1-0078-0007,SF Lens Smk SC AF Lg,Saw Fly,Smk,AF,Jiann Lih VV21234
1-0078-0008,SF Lens Yel SC AF Lg,Saw Fly,Yel,AF,Jiann Lih VV21234
1-0078-0009,SF Lens SC Lg Clr AF/AR,Saw Fly,Clr,AF,Jiann Lih VV21234
1-0078-0010,SF Lens SC Lg Smk AF/AR,Saw Fly,Smk,AF,Jiann Lih VV21234
1-0078-0011,SF Lens SC Lg Yel AF/AR,Saw Fly,Yel,AF,Jiann Lih VV21234
1-0078-0012,SF Lens NG SC Lg,Saw Fly,NG,HC,Jiann Lih VV21234
1-0078-0013,SF Lens Ver SC Lg,Saw Fly,Ver,HC,Jiann Lih VV21234
1-0078-0014,SF-PHC Lens Clr SC Lg,Saw Fly,PHC,HC,Jiann Lih VV21234
1-0078-0015,SF Lens Clr SC Gel HC Lg,Saw Fly,Clr,HC,Jiann Lih VV21234
1-0078-0016,SF Lens NG SC Gel HC Lg,Saw Fly,NG,HC,Jiann Lih VV21234
1-0078-0017,SF Lens Smk SC Gel HC Lg,Saw Fly,Smk,HC,Jiann Lih VV21234
1-0078-0018,SF Lens Yel SC Gel HC Lg,Saw Fly,Yel,HC,Jiann Lih VV21234
1-0078-0019,SF Lens Ver SC Gel HC Lg,Saw Fly,Ver,HC,Jiann Lih VV21234
1-0078-0100,SF Lens Clr SC Lg Nomk,Saw Fly,Clr,HC,Jiann Lih VV21234
1-0078-0200,SF Lens Smk SC Lg Nomk,Saw Fly,Smk,HC,Jiann Lih VV21234
1-0078-0300,SF Lens Ver SC Lg Nomk,Saw Fly,Ver,HC,Jiann Lih VV21234
1-0078-0302,SF Lens Ver SC Lg DND,Saw Fly,Ver,HC,Jiann Lih VV21234
1-0079-0001,SF Lens Clr SC Rg,Saw Fly,Clr,HC,Jiann Lih VV21234
1-0079-0002,SF Lens Smk SC Rg,Saw Fly,Smk,HC,Jiann Lih VV21234
1-0079-0003,SF Lens Yel SC Rg,Saw Fly,Yel,HC,Jiann Lih VV21234
1-0079-0004,SF Lens Amber SC Rg,Saw Fly,Amber,HC,Jiann Lih VV21234
1-0079-0005,SF Lens Plzd SC Rg,Saw Fly,PLZD,HC,Jiann Lih VV21234
1-0079-0006,SF Lens Clr SC AF Rg,Saw Fly,Clr,AF,Jiann Lih VV21234
1-0079-0007,SF Lens Smk SC AF Rg,Saw Fly,Smk,AF,Jiann Lih VV21234
1-0079-0008,SF Lens Yel SC AF Rg,Saw Fly,Yel,AF,Jiann Lih VV21234
1-0079-0009,SF Lens SC Rg Clr AF/AR,Saw Fly,Clr,AF,Jiann Lih VV21234
1-0079-0010,SF Lens SC Rg Smk AF/AR,Saw Fly,Smk,AF,Jiann Lih VV21234
1-0079-0011,SF Lens SC Rg Yel AF/AR,Saw Fly,Yel,AF,Jiann Lih VV21234
1-0079-0012,SF Lens NG SC Rg,Saw Fly,NG,HC,Jiann Lih VV21234
1-0079-0013,SF Lens Ver SC Rg,Saw Fly,Ver,HC,Jiann Lih VV21234
1-0079-0017,SF PHC Lens Clr SC Rg,Saw Fly,Clr,HC,Jiann Lih VV21234
1-0079-0019,SF Lens Clr SC Gel HC Rg,Saw Fly,Clr,HC,Jiann Lih VV21234
1-0079-0020,SF Lens NG SC Gel HC Rg,Saw Fly,NG,HC,Jiann Lih VV21234
1-0079-0021,SF Lens Smk SC Gel HC Rg,Saw Fly,Smk,HC,Jiann Lih VV21234
1-0079-0022,SF Lens Yel SC Gel HC Rg,Saw Fly,Yel,HC,Jiann Lih VV21234
1-0079-0023,SF Lens Ver SC Gel HC Rg,Saw Fly,Ver,HC,Jiann Lih VV21234
1-0079-0100,SF Lens Clr SC Rg Nomk,Saw Fly,Clr,HC,Jiann Lih VV21234
1-0079-0101,SF Lens Clr SC Rg ANSI,Saw Fly,Clr,HC,Jiann Lih VV21234
1-0079-0200,SF Lens Smk SC Rg Nomk,Saw Fly,Smk,HC,Jiann Lih VV21234
1-0079-0300,SF Lens Ver SC Rg Nomk,Saw Fly,Ver,HC,Jiann Lih VV21234
1-0079-0302,SF Lens Ver SC Rg DND,Saw Fly,Ver,HC,Jiann Lih VV21234
1-0079-0601,SF Lens Plzd SC Rg ANSI,Saw Fly,PLZD,HC,Jiann Lih VV21234
1-0135-0100,Base 5.5 Cyl Blank PHC AF,Base 5.5,PHC,AF,Darwin VV20747
1-0155-0000,PHX Face Shield,PHX Face Shield,Clr,AF,Taroko VV21312
1-0230-0001,Base 6 Polarized Blank,Base 6.0,PLZD,AF,Claxxon VV20580
1-0262-5001,SF Lens Clr ANSI HC Rg,SF MTS Rg,Clr,HC,Revision VI20197
1-0262-5004,SF Lens Smk ANSI HC Rg,SF MTS Rg,Smk,HC,Revision VI20197
1-0262-5009,SF Lens Yel ANSI HC Rg,SF MTS Rg,Yel,HC,Revision VI20197
1-0262-5010,SF Lens Ver ANSI HC Rg,SF MTS Rg,Ver,HC,Revision VI20197
1-0262-5011,SF Lsr Lens E2-5 ANSI HC Rg,SF MTS Rg,E2-5,HC,Revision VI20197
1-0262-5024,SF Lens 30-Mocha ANSI HC Rg,SF MTS Rg,Mocha,HC,Revision VI20197
1-0262-5025,SF Lens Clr ANSI HC Rg MM,SF MTS Rg,Clr,HC,Revision VI20197
1-0262-5026,SF Lens Smk ANSI HC Rg MM,SF MTS Rg,Smk,HC,Revision VI20197
1-0262-5027,SF Lens Ver ANSI HC Rg MM,SF MTS Rg,Ver,HC,Revision VI20197
1-0262-5028,SF Lens 30-Mocha ANSI HC Rg MM,SF MTS Rg,Mocha,HC,Revision VI20197
1-0262-9001,SF Lens Clr ANSI HC Rg,SF MTS Rg,Clr,HC,Revision VI20197
1-0262-9002,SF Lens Smk ANSI HC Rg,SF MTS Rg,Smk,HC,Revision VI20197
1-0262-9003,SF Lens Yel ANSI HC Rg,SF MTS Rg,Yel,HC,Revision VI20197
1-0263-5001,SF Lens Clr ANSI HC Lg,SF MTS Lg,Clr,HC,Revision VI20197
1-0263-5004,SF Lens Smk ANSI HC Lg,SF MTS Lg,Smk,HC,Revision VI20197
1-0263-5007,SF Lens Yel ANSI HC Lg,SF MTS Lg,Yel,HC,Revision VI20197
1-0263-5008,SF Lens Ver ANSI HC Lg,SF MTS Lg,Ver,HC,Revision VI20197
1-0263-5009,SF Lsr Lens E2-5 ANSI HC Lg,SF MTS Lg,E2-5,HC,Revision VI20197
1-0263-5024,SF Lens 30-Mocha ANSI HC Lg,SF MTS Lg,Mocha,HC,Revision VI20197
1-0263-5025,SF Lens Clr ANSI HC Lg MM,SF MTS Lg,Clr,HC,Revision VI20197
1-0263-5026,SF Lens Smk ANSI HC Lg MM,SF MTS Lg,Smk,HC,Revision VI20197
